ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 1 default","Attribute 2 default"
299,variable,,"Mac's River Runner (Prop Saver)",1,0,visible,"This is the only protection your prop and skeg will ever need!
\n<ul>
\n 	<li><strong>Water Dynamic - </strong>River Runner™ is water dynamic for Hi Speed ""Use and Abuse.""</li>
\n 	<li><strong>Helps Prevent Prop and Skeg Damage</strong></li>
\n 	<li><strong>Confidence - </strong>With our River Runner™ you can feel confident going into shallow waters with the unique gravel deflector, skeg protector, and bottom plate.</li>
\n 	<li><strong>No Cavitation</strong></li>
\n</ul>
\n<h5>NOTES:</h5>
\n<ul>
\n 	<li>If a portion of the bottom of the skeg is missing, the River Runner™ can still be mounted.</li>
\n 	<li>The River Runner™ is and will be the best prop and skeg protection you will ever own.</li>
\n</ul>","This is the only protection your prop and skeg will ever need!
\n<ul>
\n 	<li><strong>Water Dynamic - </strong>River Runner™ is water dynamic for Hi Speed ""Use and Abuse.""</li>
\n 	<li><strong>Helps Prevent Prop and Skeg Damage</strong></li>
\n 	<li><strong>Confidence - </strong>With our River Runner™ you can feel confident going into shallow waters with the unique gravel deflector, skeg protector, and bottom plate.</li>
\n 	<li><strong>No Cavitation</strong></li>
\n</ul>
\n<h5>NOTES:</h5>
\n<ul>
\n 	<li>If a portion of the bottom of the skeg is missing, the River Runner™ can still be mounted.</li>
\n 	<li>The River Runner™ is and will be the best prop and skeg protection you will ever own.</li>
\n</ul>",,,taxable,,1,,,0,0,2000,,,,1,,,,"Stryker Inflatable Boat Accessories > Bestsellers, Accessories > HD380 Accessories, Accessories > HD420 Accessories, Accessories > LX250 LX270 Accessories, Accessories > LX320 Accessories, Accessories > LX360 LX380 LX420 Accessories, Accessories > PRO320 Accessories, Accessories > PRO380 PRO420 PRO500 Accessories, Accessories > RIB230 RIB250 RIB270 Accessories, Accessories > RIB320 Accessories, Accessories > RIB420 Accessories, Accessories > RIB450 RIB500 RIB520, Stryker Inflatable Boat Accessories",,,"https://strykerboats.com/wp-content/uploads/2021/02/Hand-Pump-_-Bilge-Pump-1.jpg, https://strykerboats.com/wp-content/uploads/2021/02/11025632_1280x1280.jpg, https://strykerboats.com/wp-content/uploads/2021/02/Macs_logo_tspt_1280x1280.png, https://strykerboats.com/wp-content/uploads/2021/02/Screen_Shot_2019-01-07_at_11.17.40_AM_1280x1280.png",,,,,,,,,49,flooring,"Aluminum, HP Airmat",0,1,color,"Rescue Red, Storm Grey",0,1,model,"LX 250",0,1,size,"Size A (9.9 - 30HP), Size B (35 - 70HP) **Honda 9.9-50HP choose Size A, Size C (75 HP & Up), Size D (3 HP - 9.8 HP) (6 HP - 8 HP 4-stroke use Size A)",1,1,"Size A (9.9 - 30HP)",transom-height,"15""",0,1,,
300,variable,,"Repair Kit 5x6",1,0,visible,"<ul>
\n 	<li>Includes 2 pieces of fabric (5""x 6"" approx)</li>
\n 	<li>1 glue</li>
\n 	<li>1 Halkey Roberts Key</li>
\n 	<li>Container</li>
\n 	<li>Available in assorted colours (red, grey, green)</li>
\n 	<li>Please specify color otherwise random colours will be shipped</li>
\n</ul>","<ul>
\n 	<li>Includes 2 pieces of fabric (5""x 6"" approx)</li>
\n 	<li>1 glue</li>
\n 	<li>1 Halkey Roberts Key</li>
\n 	<li>Container</li>
\n 	<li>Available in assorted colours (red, grey, green)</li>
\n 	<li>Please specify color otherwise random colours will be shipped</li>
